objectid,parentid,filename,title,creator,distributor,publication,publisher,page number,date,imagedby,imageddate,description,techniques,forms,media,issues,websource,physsource,URL,URLcontext,identifier,type,format,rights,rightsholder,display_template,object_location,image_small,image_thumb,image_alt_text
ff_001,,warhol-blue-marilyn.jpg,Blue Marilyn,Andy Warhol,,,,,1962,Princeton University Art Museum,,,screen printing; painting,layers,artwork; painting; screen printing,printing; error; color registration; popular cinema,ArtStor,"Princeton University Art Museum, Princeton, NJ",https://artmuseum.princeton.edu/collections/objects/31653,,y1978-46,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/warhol-blue-marilyn.jpg,/objects/small/warhol-blue-marilyn_sm.jpg,/objects/thumbs/warhol-blue-marilyn_th.jpg,
ff_002,,sweethearts-23-p17.jpg,"""Marilyn Monroe,"" Sweethearts #23",Al Fago Studios,,Sweethearts,Charlton Comics Company,17,1954-05,fett (username),2011-01-31,,four color printing; rotary,layers,comics; print,printing; error; color registration; popular cinema,Digital Comics Museum,User's personal collection,https://digitalcomicmuseum.com/index.php?dlid=13692,,13692,Image;StillImage,image/jpeg,Public Domain,,image,/objects/sweethearts-23-p17.jpg,/objects/small/sweethearts-23-p17_sm.jpg,/objects/thumbs/sweethearts-23-p17_th.jpg,
ff_003,,gabby-hayes-56-narfstar-p06.jpg,"Page from Gabby Hayes #56, instance a",,,Gabby Hayes,Charlton Comics Company,6,1955-11,narfstar (username),2014-02-13,,four color printing; rotary,layers,comics; print,printing; error; color registration; popular cinema,Digital Comics Museum,User's personal collection,https://digitalcomicmuseum.com/index.php?dlid=23282,,23282,Image;StillImage,image/jpeg,Public Domain,,image,/objects/gabby-hayes-56-narfstar-p06.jpg,/objects/small/gabby-hayes-56-narfstar-p06_sm.jpg,/objects/thumbs/gabby-hayes-56-narfstar-p06_th.jpg,
ff_004,,gabby-hayes-56a-fett-p06.jpg,"Page from Gabby Hayes #56, instance b",,,Gabby Hayes,Charlton Comics Company,6,1955-11,fett (username),2018-05-09,,four color printing; rotary,layers,comics; print,printing; error; color registration; popular cinema,Digital Comics Museum,User's personal collection,https://digitalcomicmuseum.com/index.php?dlid=31454,,31454,Image;StillImage,image/jpeg,Public Domain,,image,/objects/gabby-hayes-56a-fett-p06.jpg,/objects/small/gabby-hayes-56a-fett-p06_sm.jpg,/objects/thumbs/gabby-hayes-56a-fett-p06_th.jpg,
ff_005,,,"Stills from Niagara (Henry Hathaway, 1953)",Henry Hathaway,Fox Home Entertainment,,,,1953,Fox Home Entertainment,2004-04-20,,Technicolor,layers; frames,film,Technicolor; color registration; error; digitization,,,,,,Image;StillImage,multiple,Fair Use / Screen Capture,,multiple,,/objects/small/niagara-1953-fox-dvd-still-2_sm.jpg,/objects/thumbs/niagara-1953-fox-dvd-still-2_th.jpg,
ff_006,ff_005,niagara-1953-fox-dvd-still-1.png,"Still from Niagara  (Henry Hathaway, 1953)",Henry Hathaway,Fox Home Entertainment,,,,1953,Fox Home Entertainment,2004-04-20,,Technicolor,layers; frames,film,Technicolor; color registration; error; digitization,,,,,,Image;StillImage,image/png,Fair Use / Screen Capture,,image,/objects/niagara-1953-fox-dvd-still-1.png,/objects/small/niagara-1953-fox-dvd-still-1_sm.jpg,/objects/thumbs/niagara-1953-fox-dvd-still-1_th.jpg,
ff_007,ff_005,niagara-1953-fox-dvd-still-2.png,"Still from Niagara (Henry Hathaway, 1953)",Henry Hathaway,Fox Home Entertainment,,,,1953,Fox Home Entertainment,2004-04-20,,Technicolor,layers; frames,film,Technicolor; color registration; error; digitization,,,,,,Image;StillImage,image/png,Fair Use / Screen Capture,,image,/objects/niagara-1953-fox-dvd-still-2.png,/objects/small/niagara-1953-fox-dvd-still-2_sm.jpg,/objects/thumbs/niagara-1953-fox-dvd-still-2_th.jpg,
ff_008,,million-dollar-mermaid-film-bulletin-1952.jpg,"Detail, Advertisement for The Million Dollar Mermaid, 1952",,,The Film Bulletin,Film Bulletin Company,,1952-02-20,Media History Digital Library,2014-03-24,,four color printing; rotary,layers,advertisement; print,printing; color registration; error; popular cinema,The Internet Archive and Media History Digital Library,"Museum of Modern Art, New York, NY",https://archive.org/details/filmbulletin195220film/page/n561/mode/1up,,filmbulletin195220film,Image;StillImage,image/jpeg,Public Domain,,image,/objects/million-dollar-mermaid-film-bulletin-1952.jpg,/objects/small/million-dollar-mermaid-film-bulletin-1952_sm.jpg,/objects/thumbs/million-dollar-mermaid-film-bulletin-1952_th.jpg,
ff_009,,new-york-times-error-2015.jpg,"Detail from the New York Times (15 May 2016), B6",,,New York Times,,B6,2016-05-15,author (MA),2016-05-15,,four color printing; rotary,layers,newspaper; print,printing; error; test images,,lost,,,,Image;StillImage,image/jpeg,unknown,,image,/objects/new-york-times-error-2015.jpg,/objects/small/new-york-times-error-2015_sm.jpg,/objects/thumbs/new-york-times-error-2015_th.jpg,
ff_010,,,"""Lucky Strike"" ad, Life Magazine (11 February 1957), back cover",,,Life Magazine,"Time, Inc.",back cover,1957-02-11,author (MA),2016,,four color printing; rotary,layers,advertisement; print,printing; color registration; error,,Personal collection of Bernie Geoghegan,,,,,,unknown,,multiple,,/objects/small/lucky-strike-ad-detail_sm.jpg,/objects/thumbs/lucky-strike-ad-detail_th.jpg,
ff_011,ff_010,lucky-strike-ad.png,"""Lucky Strike"" ad, LifeiMagazine (11 February 1957), back cover",,,Life Magazine,"Time, Inc.",back cover,1957-02-11,author (MA),2016,,four color printing; rotary,layers,advertisement; print,printing; color registration; error,,Personal collection of Bernie Geoghegan,,,,Image;StillImage,image/png,unknown,,image,/objects/lucky-strike-ad.png,/objects/small/lucky-strike-ad_sm.jpg,/objects/thumbs/lucky-strike-ad_th.jpg,
ff_012,ff_010,lucky-strike-ad-detail.png,"Detail from ""Lucky Strike"" ad, Life Magazine (11 February 1957), back cover",,,Life Magazine,"Time, Inc.",back cover,1957-02-11,author (MA),2016,,four color printing; rotary,layers,advertisement; print,printing; color registration; error,,Personal collection of Bernie Geoghegan,,,,Image;StillImage,image/png,unknown,,image,/objects/lucky-strike-ad-detail.png,/objects/small/lucky-strike-ad-detail_sm.jpg,/objects/thumbs/lucky-strike-ad-detail_th.jpg,
ff_013,,,You and the World of Print,Printing Industries Association of Texas,,,,,1976,Doug Wilson / PrintingFilms.org,2012,,offset printing; rotary,layers,film,printing; industrial film; process demonstration,PrintingFilms,Personal collection of either David Seat or Carl Schlessinger (contact DW to see),https://printingfilms.com/,,,Image;MovingImage,video/mp4,Public Domain,,video,https://vimeo.com/127605645,/objects/small/worldofprint_sm.jpg,/objects/small/worldofprint_sm.jpg,
ff_014,,peter-gunn-ad.jpg,"Ad for Peter Gunn, Broadcasting Telecasting 61",,,Broadcasting Telecasting,,,1953,Media History Digital Library,,,four color printing; rotary,layers,advertisement; print,printing; bombproof; television,The Internet Archive and Media History Digital Library,,,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/peter-gunn-ad.jpg,/objects/small/peter-gunn-ad_sm.jpg,/objects/thumbs/peter-gunn-ad_th.jpg,
ff_015,,,"Duck Amuck (Chuck Jones, 1953)",Chuck Jones,Warner Bros.,,,,1953,,,,Technicolor; cel animation,frames,film; animation,projection; frame registration; depiction of error,Vimeo,,https://vimeo.com/403771824,,,Image;MovingImage,video/mp4,Fair Use / External Link,,video,https://vimeo.com/403771824,/objects/small/duckamuck_sm.jpg,/objects/small/duckamuck_sm.jpg,
ff_016,,,"Dresden Dynamo (Lis Rhodes, 1972)",Lis Rhodes,,,,,1972,,,,direct animation; projection installation,frames; layers; dots,film; animation,projection; frame registration; alternative segmentation; mechanical tone,,,,,,,,REQUEST RIGHTS,,compound_object,,,/objects/thumbs/dresdendynamo-1972_th.jpg,
ff_017,ff_016,dresdendynamo-1972.jpg,"Frames from Dresden Dynamo (Lis Rhodes, 1972)",Lis Rhodes,,,,,1972,FIND IMAGE SOURCE,,,direct animation; visible film strip,frames; layers; dots,film; animation,projection; frame registration; alternative segmentation; mechanical tone,,,,,,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/dresdendynamo-1972.jpg,/objects/small/dresdendynamo-1972_sm.jpg,/objects/thumbs/dresdendynamo-1972_th.jpg,
